"country","year","continent","oil_consumption"
"South Korea",1978,"Asia",5.54403616847178
"South Korea",1979,"Asia",5.66190089119202
"South Korea",1980,"Asia",5.65246461856351
"South Korea",1981,"Asia",5.64246365360589
"South Korea",1982,"Asia",5.63507170623158
"South Korea",1983,"Asia",5.68031253096815
"South Korea",1984,"Asia",5.68460305312696
"South Korea",1985,"Asia",5.74021083126975
"South Korea",1986,"Asia",5.82573753603846
"South Korea",1987,"Asia",5.87570290455928
"South Korea",1988,"Asia",6.0543548356562
"South Korea",1989,"Asia",6.18763147947399
"South Korea",1990,"Asia",6.3799886296295
"South Korea",1991,"Asia",6.57557501863946
"South Korea",1992,"Asia",6.76629078809343
"South Korea",1993,"Asia",6.85981740151319
"South Korea",1994,"Asia",6.95302114486354
"South Korea",1995,"Asia",7.04017380259759
"South Korea",1996,"Asia",7.10782834135175
"South Korea",1997,"Asia",7.20250258379598
"South Korea",1998,"Asia",7.03627689359839
"South Korea",1999,"Asia",7.10599529546344
"South Korea",2000,"Asia",7.13548509727768
"South Korea",2001,"Asia",7.13340448851127
"South Korea",2002,"Asia",7.15207306552775
"South Korea",2003,"Asia",7.16167165259879
"South Korea",2004,"Asia",7.14523714362003
"South Korea",2005,"Asia",7.14704773203572
"South Korea",2006,"Asia",7.14763165251951
"South Korea",2007,"Asia",7.17702411348918
"South Korea",2008,"Asia",7.13529156808104
"South Korea",2009,"Asia",7.14274044085894
"South Korea",2010,"Asia",7.15550636609706
"South Korea",2011,"Asia",7.16411075756911
"South Korea",2012,"Asia",7.19310713859555
"South Korea",2013,"Asia",7.18913302083654
"South Korea",2014,"Asia",7.18682310512215
"South Korea",2015,"Asia",7.23878846503458
"South Korea",2016,"Asia",7.31255883497962
"South Korea",2017,"Asia",7.31753705685103
"South Korea",2018,"Asia",7.30835590800677
"South Korea",2019,"Asia",7.29531300268617
"Iran",1965,"Asia",4.43268410196622
"Iran",1966,"Asia",4.52136457412903
"Iran",1967,"Asia",4.62049220208588
"Iran",1968,"Asia",4.71737323800758
"Iran",1969,"Asia",4.80428330542188
"Iran",1970,"Asia",4.88074678192772
"Iran",1971,"Asia",4.97152710794491
"Iran",1972,"Asia",5.07755846968397
"Iran",1973,"Asia",5.2595817357233
"Iran",1974,"Asia",5.40704620303862
"Iran",1975,"Asia",5.56477707936045
"Iran",1976,"Asia",5.68842515233516
"Iran",1977,"Asia",5.83772753170979
"Iran",1978,"Asia",5.840970091805
"Iran",1979,"Asia",5.89104458457146
"Iran",1980,"Asia",5.80799833544653
"Iran",1981,"Asia",5.80119347649083
"Iran",1982,"Asia",5.88632067464799
"Iran",1983,"Asia",6.08242665135387
"Iran",1984,"Asia",6.16132334871896
"Iran",1985,"Asia",6.2559227715564
"Iran",1986,"Asia",6.17523713398175
"Iran",1987,"Asia",6.21787874402501
"Iran",1988,"Asia",6.26698230840993
"Iran",1989,"Asia",6.33881490187638
"Iran",1990,"Asia",6.37406524544413
"Iran",1991,"Asia",6.4339781389917
"Iran",1992,"Asia",6.49724245255235
"Iran",1993,"Asia",6.5789650599614
"Iran",1994,"Asia",6.61749254615564
"Iran",1995,"Asia",6.61886714619856
"Iran",1996,"Asia",6.66018454859696
"Iran",1997,"Asia",6.69253401332794
"Iran",1998,"Asia",6.6557118707742
"Iran",1999,"Asia",6.66284146584796
"Iran",2000,"Asia",6.69693424266615
"Iran",2001,"Asia",6.70583491411945
"Iran",2002,"Asia",6.71184136319474
"Iran",2003,"Asia",6.72379518051167
"Iran",2004,"Asia",6.75338890922881
"Iran",2005,"Asia",6.84959530492463
"Iran",2006,"Asia",6.93607642243604
"Iran",2007,"Asia",6.95990550609794
"Iran",2008,"Asia",7.0054997661818
"Iran",2009,"Asia",6.99595386762371
"Iran",2010,"Asia",6.90363078493847
"Iran",2011,"Asia",6.92426523648395
"Iran",2012,"Asia",6.94591870263257
"Iran",2013,"Asia",7.03213429105645
"Iran",2014,"Asia",6.96090544830984
"Iran",2015,"Asia",6.84274091131423
"Iran",2016,"Asia",6.86844464178581
"Iran",2017,"Asia",6.87571750663162
"Iran",2018,"Asia",6.89066608698841
"Iran",2019,"Asia",6.99334381087427
"Indonesia",1965,"Asia",4.28433111220043
"Indonesia",1966,"Asia",4.24670793147526
"Indonesia",1967,"Asia",4.21083787765791
